Companies;Date;Revenue;Net Income;Assets;non-current assets;Liabilities;Equity;Shares outstanding;Debt-to-Equity;Current Ratio;Earnings per Share;Return On Capital Employed;Net Margin Profit;Inventory Turnover Ratio
AALI;01/01/2008;2274;827;2489;3944;1371;5062;2;0.00;2.01;545.63;46.70;36.32;0.00
AALI;01/04/2008;2371;770;2399;4100;1672;4827;2;0.00;1.53;505.39;22.48;32.44;3.80
AALI;01/07/2008;2052;532;3283;4421;2877;4827;2;0.00;1.19;349.81;15.34;25.91;4.91
AALI;01/10/2008;1464;501;1976;4544;1183;5337;2;0.00;1.94;323.58;5.15;34.22;5.60
AALI;01/01/2009;1408;218;2219;4820;1476;5563;2;0.00;1.72;143.65;4.95;15.51;1.34
AALI;01/04/2009;2129;552;2382;5147;1686;5842;2;0.01;1.60;363.54;14.87;25.89;2.76
AALI;01/07/2009;1925;478;2404;5437;1500;6340;2;0.00;1.87;316.26;12.03;24.77;3.68
AALI;01/10/2009;1961;413;1714;5857;1145;6427;2;0.00;1.83;274.92;10.58;21.07;5.62
AALI;01/01/2010;1633;272;2219;4820;1476;5563;2;0.00;1.72;180.48;7.05;16.65;1.57
AALI;01/04/2010;1885;364;2382;5147;1686;5842;2;0.01;1.60;239.92;8.78;19.31;2.93
AALI;01/07/2010;2204;592;1770;6740;1579;6931;2;0.00;1.32;391.26;12.71;26.84;4.26
AALI;01/10/2010;3122;789;2051;6741;1335;7457;2;0.00;1.93;524.22;16.18;25.28;7.17
AALI;01/01/2011;2765;682;2949;7001;1808;8142;2;0.00;1.94;415.33;11.37;24.68;2.49
AALI;01/04/2011;2532;635;2388;7305;1976;7717;2;0.00;1.43;391.10;9.90;25.08;4.08
AALI;01/07/2011;2639;615;2907;7704;2751;7859;2;0.00;1.20;374.78;9.75;23.29;5.30
AALI;01/10/2011;2837;567;1886;8318;1778;8426;2;0.00;1.31;346.38;7.93;15.12;7.75
AALI;01/01/2012;2581;391;1880;8956;2094;8742;2;0.00;1.14;239.98;5.91;14.71;2.22
AALI;01/04/2012;3066;606;1753;9570;3126;8197;2;0.10;0.66;368.77;9.33;19.72;4.32
AALI;01/07/2012;2928;752;2075;9966;3454;8586;2;0.06;0.70;453.06;11.51;24.71;5.08
AALI;01/10/2012;2990;772;1780;10639;3054;9365;2;0.11;0.68;468.77;11.32;25.76;5.67
AALI;01/01/2013;2724;371;1807;11163;3247;9723;2;0.11;0.66;226.30;4.61;17.34;1.68
AALI;01/04/2013;2772;374;1646;11786;4116;9316;2;0.23;0.51;229.00;4.82;13.47;3.99
AALI;01/07/2013;2828;219;2116;12440;5273;9283;2;0.27;0.48;123.14;6.03;7.94;6.12
AALI;01/10/2013;4351;938;1692;13271;4695;10268;2;0.28;0.45;565.49;13.42;21.57;9.15
AALI;01/01/2014;3726;810;2341;13836;5118;11058;2;0.24;0.54;498.24;8.06;21.57;2.33
AALI;01/04/2014;4282;615;2760;14447;6161;11047;2;0.30;0.51;370.94;8.40;14.33;3.97
AALI;01/07/2014;3752;545;2779;15388;6959;11207;2;0.33;0.45;326.78;7.36;13.72;5.21
AALI;01/10/2014;4546;650;2404;16155;6721;11837;2;0.39;0.58;393.95;7.01;14.18;7.66
AALI;01/01/2015;3233;168;2742;17201;7915;12028;2;0.47;0.60;99.12;3.03;18.06;1.72
AALI;01/04/2015;3996;310;2808;17898;9192;11513;2;0.59;0.51;183.10;3.64;8.89;3.65
AALI;01/07/2015;3118;277;2569;18436;9769;11236;2;0.66;0.45;-190.15;2.32;7.83;5.58
AALI;01/10/2015;2712;495;2814;18698;9814;11699;2;0.69;0.80;301.08;2.97;8.87;6.40
AALI;01/01/2016;3018;426;2900;19081;9851;12130;2;0.65;0.77;265.15;1.87;15.37;1.45
AALI;01/04/2016;3327;389;5900;19508;8985;16423;2;0.43;1.77;194.63;2.38;14.11;3.13
AALI;01/07/2016;3243;378;3111;19842;6369;16584;2;0.22;0.94;183.52;2.58;11.70;4.51
AALI;01/10/2016;4534;922;4052;20175;6633;17593;2;0.24;1.03;447.67;6.52;11.67;5.42
AALI;01/01/2017;4491;836;4885;20296;6748;18433;2;0.21;1.04;416.19;5.49;19.87;1.32
AALI;01/04/2017;4055;256;4479;20147;6728;17899;2;0.25;1.10;126.02;1.95;18.62;2.71
AALI;01/07/2017;3947;385;4403;20553;6957;17998;2;0.22;0.70;188.33;2.85;6.31;4.41
AALI;01/10/2017;4813;636;4246;20690;6399;18536;2;0.22;1.84;313.96;4.72;9.75;6.33
AALI;01/01/2018;4446;373;4611;20854;6408;19057;2;0.20;2.05;184.68;2.03;13.23;1.91
AALI;01/04/2018;4575;442;5543;21293;7915;18921;2;0.26;1.55;222.61;2.67;8.38;3.48
AALI;01/07/2018;4740;367;5711;21608;8179;19139;2;0.25;1.55;176.66;2.92;9.72;4.25
AALI;01/10/2018;5323;339;4501;22356;7382;19475;2;0.25;1.46;163.45;2.34;8.48;5.97
AALI;01/01/2019;4233;40;4596;22304;7418;19482;2;0.25;1.45;19.44;0.14;6.38;1.70
AALI;01/04/2019;4294;14;5083;22079;8201;18961;2;0.30;1.29;3.27;0.47;1.36;3.57
AALI;01/07/2019;3860;76;5132;22519;8654;18997;2;0.32;2.26;35.05;0.85;0.33;5.07
AALI;01/10/2019;5066;114;4472;22502;7996;18979;2;0.31;2.85;51.92;2.40;1.97;7.22
AALI;01/01/2020;4796;382;5976;23243;9855;19364;2;0.38;2.39;192.79;2.45;2.25;1.79
AALI;01/04/2020;4285;26;5676;21705;8062;19319;2;0.30;3.73;10.83;0.44;0.61;3.58
AALI;01/07/2020;4243;210;6677;21437;8719;19395;2;0.31;3.49;99.05;1.31;4.94;5.37
AALI;01/10/2020;5483;275;5938;21843;8533;19248;2;0.30;3.31;130.17;2.85;5.29;7.15
AALI;01/01/2021;5035;182;6701;21768;8821;19648;2;0.30;3.26;84.39;2.51;1.94;1.82
AALI;01/04/2021;5797;513;7630;21059;8742;19947;2;0.30;3.80;252.98;3.73;8.85;3.32
AALI;01/07/2021;7182;849;8952;20742;9114;20580;2;0.28;3.69;425.96;3.79;11.82;5.53
AALI;01/10/2021;6308;523;9414;20986;9229;21171;2;0.28;1.58;260.91;2.94;8.27;7.25
AALI;01/01/2022;6581;506;10323;20910;9525;21708;2;0.27;1.65;251.18;2.76;7.69;1.77
AALI;01/04/2022;4383;332;9391;20843;8885;21349;2;0.28;1.67;169.31;2.01;7.57;2.37
AALI;01/07/2022;5552;428;10870;21769;10986;21653;2;0.34;1.64;211.25;1.77;7.71;3.50
AALI;01/10/2022;5311;526;7391;21859;7006;22243;2;0.19;3.60;265.34;2.76;10.94;5.32
AALI;01/01/2023;4761;230;7640;21748;6900;22488;2;0.18;3.74;116.76;0.60;4.80;1.32
AALI;01/04/2023;4630;148;6910;22305;7229;21986;2;0.18;2.86;74.22;0.62;3.97;2.55
AALI;01/07/2023;6291;448;7806;21569;7094;22281;2;0.19;1.69;224.97;2.07;7.11;4.37
AALI;01/10/2023;5063;263;7118;21728;6280;22566;2;0.18;1.83;132.65;1.55;5.18;6.21
ACES;01/01/2008;271;22;629;124;151;603;2;0.00;4.64;12.72;8.77;8.12;0.00
ACES;01/04/2008;302;31;613;129;109;633;2;0.00;6.61;17.91;5.69;10.26;3.43
ACES;01/07/2008;347;35;620;152;104;668;2;0.01;7.18;20.44;7.56;10.08;4.24
ACES;01/10/2008;302;43;619;171;113;677;2;0.00;6.74;25.11;7.35;14.24;4.09
ACES;01/01/2009;320;37;626;177;113;690;2;0.00;6.95;21.72;5.32;11.56;1.15
ACES;01/04/2009;317;30;705;174;99;781;2;0.00;9.62;17.48;4.75;9.46;2.92
ACES;01/07/2009;360;45;650;287;111;826;2;0.00;7.79;26.22;5.90;12.50;5.07
ACES;01/10/2009;362;42;776;195;103;868;2;0.00;10.60;24.63;6.36;11.60;7.68
ACES;01/01/2010;370;37;817;196;108;905;2;0.00;10.76;21.67;4.89;10.00;2.94
ACES;01/04/2010;367;42;744;306;116;934;2;0.00;9.12;23.61;5.40;11.45;7.18
ACES;01/07/2010;421;43;784;330;130;984;2;0.00;8.42;24.09;5.13;10.21;7.61
ACES;01/10/2010;482;57;862;329;147;1045;2;0.00;7.82;32.40;6.71;11.82;7.63
ACES;01/01/2011;526;58;859;428;178;1108;2;0.00;6.24;34.49;6.59;11.03;2.26
ACES;01/04/2011;538;53;811;475;205;1081;2;0.00;5.07;31.94;6.27;9.85;3.62
ACES;01/07/2011;646;71;773;541;162;1152;2;0.00;6.89;42.62;8.34;11.00;4.25
ACES;01/10/2011;717;97;847;605;220;1232;2;0.00;5.09;57.20;9.75;13.52;4.84
ACES;01/01/2012;721;86;993;637;312;1318;2;0.02;4.33;51.40;8.41;11.93;1.27
ACES;01/04/2012;721;81;1017;667;328;1356;2;0.03;4.27;47.54;7.26;11.24;2.18
ACES;01/07/2012;854;92;1109;688;350;1448;2;0.02;4.41;54.87;7.94;10.77;2.70
ACES;01/10/2012;927;170;1219;698;299;1618;17;0.03;5.85;10.11;13.98;18.34;3.02
ACES;01/01/2013;887;90;1381;705;378;1708;17;0.05;4.99;5.40;6.79;10.14;0.78
ACES;01/04/2013;900;92;1314;704;390;1629;17;0.04;4.83;5.40;6.63;10.22;1.57
ACES;01/07/2013;1001;132;1461;709;435;1734;17;0.04;4.66;7.76;9.58;13.19;2.03
ACES;01/10/2013;1107;190;1747;732;563;1915;17;0.05;3.98;11.11;12.38;17.16;2.08
ACES;01/01/2014;1075;135;1932;705;586;2051;17;0.04;4.27;7.97;8.36;12.56;0.46
ACES;01/04/2014;1098;108;1895;696;535;2056;17;0.06;4.83;6.35;6.52;9.83;0.85
ACES;01/07/2014;1180;129;2060;682;557;2185;17;0.05;5.08;7.58;7.43;10.93;1.27
ACES;01/10/2014;1188;177;2171;776;585;2362;17;0.02;5.09;10.44;9.41;14.92;1.76
ACES;01/01/2015;1108;125;2284;808;604;2487;17;0.03;5.26;7.35;6.26;11.28;0.43
ACES;01/04/2015;1113;121;2153;786;603;2336;17;0.04;5.13;7.13;5.97;10.88;0.80
ACES;01/07/2015;1235;143;2219;852;604;2467;17;0.03;5.45;8.45;7.30;11.58;1.16
ACES;01/10/2015;1287;195;2467;800;639;2629;17;0.02;5.98;11.37;9.54;15.15;1.61
ACES;01/01/2016;1161;137;2599;819;652;2766;17;0.02;6.30;8.15;5.92;11.79;0.41
ACES;01/04/2016;1177;95;2330;924;655;2599;17;0.03;5.77;5.75;4.12;8.07;0.82
ACES;01/07/2016;1213;237;2552;950;666;2836;17;0.03;6.36;13.87;9.40;19.54;1.17
ACES;01/10/2016;1385;236;2822;909;682;3049;17;0.02;7.26;13.67;9.52;17.04;1.62
ACES;01/01/2017;1295;153;2962;957;716;3203;17;0.02;7.15;8.99;5.66;11.81;0.41
ACES;01/04/2017;1465;174;2936;973;814;3095;17;0.02;5.87;10.14;6.20;11.88;0.85
ACES;01/07/2017;1463;200;3103;1007;814;3296;17;0.01;6.35;11.57;7.03;13.67;1.23
ACES;01/10/2017;1716;254;3358;1071;918;3510;17;0.02;7.02;14.65;8.27;14.79;1.68
ACES;01/01/2018;1574;210;3593;1078;950;3721;17;0.02;7.25;12.18;6.50;13.35;0.42
ACES;01/04/2018;1811;220;3440;1094;982;3551;17;0.02;6.81;12.66;6.73;12.14;0.86
ACES;01/07/2018;1779;274;3650;1224;1049;3825;17;0.03;6.66;15.82;8.26;15.40;1.23
ACES;01/10/2018;2076;272;3906;1951;1675;4182;17;0.05;5.02;15.58;7.31;13.11;1.56
ACES;01/01/2019;1882;239;4196;1253;975;4475;17;0.02;8.27;13.81;6.01;12.70;0.38
ACES;01/04/2019;2080;241;3951;1252;971;4232;17;0.03;8.29;13.85;6.30;11.59;0.79
ACES;01/07/2019;2012;253;4187;952;1003;4485;17;0.03;8.67;14.74;6.87;12.58;1.17
ACES;01/10/2019;2169;291;4370;2272;1966;4676;17;0.03;5.58;16.92;8.29;13.40;1.57
ACES;01/01/2020;1967;244;4608;2381;2093;4896;17;0.02;5.86;14.33;5.22;12.41;0.38
ACES;01/04/2020;1685;110;4749;2346;2099;4996;17;0.02;6.53;6.68;2.45;6.53;0.70
ACES;01/07/2020;1829;170;4681;2267;2091;4857;17;0.02;6.62;9.89;3.48;9.30;1.03
ACES;01/10/2020;1932;208;5035;2182;1873;5344;17;0.02;5.96;11.87;4.78;10.75;1.48
ACES;01/01/2021;1682;163;5281;2235;2130;5386;17;0.02;6.60;9.43;3.26;9.70;0.35
ACES;01/04/2021;1714;117;5297;2128;2474;4952;17;0.12;4.73;6.72;2.42;6.82;0.68
ACES;01/07/2021;1299;44;4838;2088;1930;4996;17;0.02;8.89;2.68;1.08;3.39;0.90
ACES;01/10/2021;1849;381;5192;1979;1592;5579;17;0.02;7.19;21.45;7.36;20.60;1.31
ACES;01/01/2022;1627;156;5366;1947;1642;5671;17;0.01;8.60;8.95;3.10;9.59;0.36
ACES;01/04/2022;1681;90;5459;1919;1970;5408;17;0.07;5.94;5.18;1.84;5.35;0.71
ACES;01/07/2022;1587;109;5260;1860;1602;5518;17;0.01;10.30;6.37;2.23;6.86;0.95
ACES;01/10/2022;1868;318;5363;1886;1315;5934;17;0.01;8.01;18.23;6.15;17.03;1.24
